stat_arb171,stat_arb191,stat_arb181,stat_arb21,stat_arb41,stat_arb121,Date
0.0,0.0,0.0,0.0,0.0,0.0,2023/09/14
0.0,0.0,0.0,0.2,0.0,1.2,2023/09/17
0.0,0.0,0.0,1.2341,2.149024,1.076624,2023/09/18
0.0,0.0,0.0,1.25125,0.789129,0.230203,2023/09/19
0.0,0.0,0.0,3.94,2.527604,1.151574,2023/09/20
0.0,0.0,0.0,4.237929,3.232612,1.151574,2023/09/21
0.014142,1.222222222222,0.51428701,4.237929,5.985799,1.151574,2023/09/22
0.0,1.222222222222,1.543598,4.406215,6.877892,1.151463,2023/09/25
4.298039,1.222222222222,1.959078,4.751163,9.253591,1.151463,2023/09/26
5.795671,1.312222222222,3.800708,4.92655,10.125737,1.151463,2023/09/27
10.680049,1.312222222222,4.608834,5.423786,10.577682,1.1801,2023/09/28
16.188515,1.312222222222,4.608834,4.706657,9.08701,1.071876,2023/09/29
12.53216,1.312222222222,4.608834,4.706657,11.346322,1.071876,2023/10/02
14.732471,1.312222222222,8.453934,4.543869,12.374291,0.275999,2023/10/03
13.607753,1.312222222222,10.200405,4.543869,12.615967,0.275999,2023/10/04
13.681819,1.312222222222,9.341281,4.552183,10.205767,0.275999,2023/10/05
16.827983,1.312222222222,8.280319,4.552183,10.922805,0.275999,2023/10/06
25.420162,1.312222222222,9.228662,3.701077,8.933958,0.309158,2023/10/09
27.381229,1.380313,10.335585,3.614211,10.285259,0.744018,2023/10/10
25.191717,1.380313,13.502408,3.197441,8.619549,1.437697,2023/10/11
30.904945,1.380313,13.78896,4.552183,10.922805,1.151574,2023/10/12
36.8395,1.380313,13.78896,4.552183,10.922805,1.151574,2023/10/13
34.92758,1.380313,13.78896,3.27939,12.291522,1.225465,2023/10/16
37.815897,1.380313,13.78896,3.216003,12.907818,2.386863,2023/10/17
43.928719,1.380313,13.78896,4.324113,14.597694,5.245807,2023/10/18
52.016862,1.380313,13.78896,4.529051,14.699095,5.422715,2023/10/19
59.848689,3.080006,14.598333,4.859231,15.156365,3.92803,2023/10/20
68.22743,3.080006,15.555483,5.421575,14.404503,2.656331,2023/10/23
62.798741,2.370371,17.215709,5.628282,15.841598,4.06277,2023/10/24
